Formal Name and Room,Street Address
Blue Phone 20 Chemistry Physics @ East Mall & University Blvd.    ,6221 UNIVERSITY BLVD Chemistry A Block
Blue Phone 21 Chemistry East @ Main Mall & Agricultural Road ,2036 MAIN MALL 
Blue Phone 22 Buchanan D @ Crescent Road at Buchanan D  ,1866 MAIN MALL/CRESCENT RD Buchanan Bldgs
Blue Phone 23 Fraser River Parkade @ Memorial Rd at Fraser River Parkade ,6441 MEMORIAL RD Fraser River Parkade
Blue Phone 24 Nitobe Garden @ Memorial Rd & Lower Mall ,1895 LOWER MALL NITOBE Gardens
Blue Phone 25 St. John's @ Lower Mall & University Blvd.  ,2111 LOWER MALL St John's College
Blue Phone 26 Jack Bell @ West Mall & University Blvd    ,2080 WEST MALL Jack BELL School of Social Work
Blue Phone 27 West Parkade @ Lower Mall & Pedestrian Path at West Parkade ,2140 LOWER MALL 
Blue Phone 28 BRDF @ Lower Mall & Agronomy Road    ,2337 LOWER MALL & AGRONOMY Rd
Blue Phone 29 CIRS @ West Mall & Stores Road    ,2260 WEST MALL & STORES Rd
Blue Phone 30 Totem Park @ West Mall & Thunderbird Blvd ,2525 WEST MALL & THUNDERBIRD Blvd
Blue Phone 31 Tennis Centre @ Thunderbird & East Mall    ,6160 THUNDERBIRD BLVD & EAST MALL
Blue Phone 32 TBIRD Parkade @ West Mall & Thunderbird    ,6085 THUNDERBIRD BLVD & WEST MALL
Blue Phone 33 Pulp & Paper @ East Mall & Argonomy Road    ,2385 EAST MALL & Agronomy Rd at Pulp & Paper Centre
Blue Phone 34 SPPH @ Health Sciences Mall & Hospital Lane ,2206 East Mall
Blue Phone 35 CEME East Mall & Applied Science Lane    ,6250 APPLIED SCIENCE LN at EAST MALL
Blue Phone 36 Iona Building South Side,6000 Iona Drive South Side of IONA Building
Blue Phone 37 UBC Exchange Bus Loop East - NE Side of Transit Loop,UBC Exchange Bus Loop Wesbrook Mall N of University Blvd
Blue Phone 38 Exchange North,UBC Exchange
Blue Phone 39 FUTURE: Diesel Bus Loop,UBC Exchange
Blue Phone 40 Tallwood House - Walter Gage Rd NE of Brock Commons,6088 House Walter GAGE Rd NE of Brock Commons
Blue Phone 41 Thunderbird Park pedestrian pathway near Soccer Centre,3065 Wesbrook Mall pathway near Soccer Centre
Blue Phone 42 IK Barber 1st Floor Wall Unit,1961 EAST MALL 
Blue Phone 43 IK Barber 2nd Floor Wall Unit,1961 EAST MALL 
Blue Phone 44 IK Barber 3rd Floor Wall Unit,1961 EAST MALL 
Blue Phone 45 IK Barber 4th Floor Wall Unit,1961 EAST MALL 
Blue Phone 46 Vantage College Agronomy & West Mall,6363 Agronomy Road Vantage College
Blue Phone 47 Fraser River Parkade North Entrance Level 1,6441 Memorial Rd Fraser River Parkade North Entrance Level 1
Blue Phone 48 Fraser River Parkade South West Level 1,6441 Memorial Rd Fraser River Parkade South West Level 1
Blue Phone 49 Fraser River Parkade South East Level 1,6441 Memorial Rd Fraser River Parkade South East Level 1
Blue Phone 50 Fraser River Parkade North East Level 2,6441 Memorial Rd Fraser River Parkade North East Level 2
Blue Phone 51 Health Sciences Parkade South East Ground Level,2250 Health Sciences Mall South East Ground Level
Blue Phone 52 Health Sciences Parkade South West Ground Level,2250 Health Sciences Mall South West Ground Level
Blue Phone 53 Health Sciences Parkade North East Bottom Level,2250 Health Sciences Mall 
Blue Phone 54 Health Sciences Parkade North West Roof Top Level 5,2250 Health Sciences Mall 
